split,source_id,target_id,source_folder,target_folder,included_files
train,1,1,STOa_PS001_STOs01,STOa_PS001_STOs01,phase
train,2,2,STOa_PS002_STOs01,STOa_PS002_STOs01,phase
train,3,3,STOa_PS003_STOs01,STOa_PS003_STOs01,phase
train,4,4,STOa_PS004_STOs01,STOa_PS004_STOs01,phase
train,5,5,STOa_PS005_STOs01,STOa_PS005_STOs01,phase
train,6,6,STOa_PS006_STOs01,STOa_PS006_STOs01,phase
train,7,7,STOa_PS007_STOs01,STOa_PS007_STOs01,phase
train,8,8,STOa_PS008_STOs01,STOa_PS008_STOs01,phase
train,9,9,STOa_PS009_STOs01,STOa_PS009_STOs01,phase
train,10,10,STOa_PS010_STOs01,STOa_PS010_STOs01,phase
train,11,11,STOa_PS011_STOs01,STOa_PS011_STOs01,phase
train,12,12,STOa_PS012_STOs01,STOa_PS012_STOs01,phase
train,13,13,STOa_PS013_STOs01,STOa_PS013_STOs01,phase
train,15,14,STOa_PS015_STOs01,STOa_PS014_STOs01,phase
train,16,15,STOa_PS016_STOs01,STOa_PS015_STOs01,phase
train,17,16,STOa_PS017_STOs01,STOa_PS016_STOs01,phase
train,18,17,STOa_PS018_STOs01,STOa_PS017_STOs01,phase
train,19,18,STOa_PS019_STOs01,STOa_PS018_STOs01,phase
train,20,19,STOa_PS020_STOs01,STOa_PS019_STOs01,phase
train,21,20,STOa_PS021_STOs01,STOa_PS020_STOs01,phase
train,22,21,STOa_PS022_STOs01,STOa_PS021_STOs01,phase
train,40,22,STOa_PS040_STOs01,STOa_PS022_STOs01,"gauze,tool,vessel,organ,phase"
train,41,23,STOa_PS041_STOs01,STOa_PS023_STOs01,"gauze,tool,vessel,organ,phase"
train,42,24,STOa_PS042_STOs01,STOa_PS024_STOs01,"gauze,tool,vessel,organ,phase"
train,43,25,STOa_PS043_STOs01,STOa_PS025_STOs01,"gauze,tool,vessel,organ,phase"
train,45,26,STOa_PS045_STOs01,STOa_PS026_STOs01,"gauze,tool,vessel,organ,phase"
train,48,27,STOa_PS048_STOs01,STOa_PS027_STOs01,"gauze,tool,vessel,organ,phase"
train,49,28,STOa_PS049_STOs01,STOa_PS028_STOs01,phase
val,44,29,STOa_PS044_STOs01,STOa_PS029_STOs01,phase
val,46,30,STOa_PS046_STOs01,STOa_PS030_STOs01,phase
val,47,31,STOa_PS047_STOs01,STOa_PS031_STOs01,phase
val,23,32,STOa_PS023_STOs01,STOa_PS032_STOs01,phase
test,24,33,STOa_PS024_STOs01,STOa_PS033_STOs01,phase
test,25,34,STOa_PS025_STOs01,STOa_PS034_STOs01,phase
test,26,35,STOa_PS026_STOs01,STOa_PS035_STOs01,phase
test,28,36,STOa_PS028_STOs01,STOa_PS036_STOs01,phase
test,30,37,STOa_PS030_STOs01,STOa_PS037_STOs01,phase
test,31,38,STOa_PS031_STOs01,STOa_PS038_STOs01,phase
test,32,39,STOa_PS032_STOs01,STOa_PS039_STOs01,phase
test,34,40,STOa_PS034_STOs01,STOa_PS040_STOs01,phase
